Model,Type,MSE_Total,MAE_Total,R2_Total,MSE_CPU,MSE_Memory,R2_CPU,R2_Memory
random_forest,ensemble,690.6262472318673,15.28198529817224,0.0807830162582795,0.08397071634613822,1381.1685237473885,0.048044757334354316,0.11352127518220467
gradient_boosting,ensemble,660.4378602423061,14.434271287154667,0.07632162911312113,0.08817626315508631,1320.7875442214572,0.00036751332287066063,0.1522757449033716
polynomial_regression,regression,787.5711457546242,17.45310442131791,0.028232863281374754,0.08226427130492145,1575.0600272379436,0.06739030271008817,-0.01092457614733866
lasso_regression,regression,879.6226859819175,18.34823418781275,-0.06492715516625314,0.08827662542823332,1759.1570953384066,-0.0007702689451085654,-0.1290840413873977
ridge_regression,regression,907.2053000502121,18.519827625518268,-0.11828281618478986,0.09456665660709074,1814.316033443817,-0.07207879670091644,-0.1644868356686633
deep_neural_network,neural,3529.559267478162,37.366691457221734,-3.366169556467917,0.37063575845143926,7058.747899197872,-3.2018059238985153,-3.5305331890373184
simple_neural_network,neural,3532.1715324813263,37.47338744970234,-4.642480693444261,0.5955161462649646,7063.747548816387,-5.751219260677966,-3.533742126210555
